Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
267.8399963378906,268.80999755859375,267.3999938964844,268.7699890136719,244.05775451660156,86655700,0.0,2018-01-02,00,2018,2,Tuesday,0.43,0.30653221690386806
268.9599914550781,270.6400146484375,268.9599914550781,270.4700012207031,245.6014862060547,90070400,0.633,2018-01-03,00,2018,3,Wednesday,0.43,0.30653221690386806
271.20001220703125,272.1600036621094,270.5400085449219,271.6099853515625,246.63661193847656,80636400,0.421,2018-01-04,00,2018,4,Thursday,0.43,0.30653221690386806
272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,248.28025817871094,83524000,0.666,2018-01-05,00,2018,5,Friday,0.43,0.30653221690386806
273.30999755859375,274.1000061035156,272.9800109863281,273.9200134277344,248.7342529296875,57319200,0.183,2018-01-08,01,2018,8,Monday,0.3276,0.3637888123623375
274.3999938964844,275.25,274.0799865722656,274.5400085449219,249.29730224609375,57254000,0.226,2018-01-09,01,2018,9,Tuesday,0.3276,0.3637888123623375
273.67999267578125,274.4200134277344,272.9200134277344,274.1199951171875,248.91590881347656,69574300,-0.153,2018-01-10,01,2018,10,Wednesday,0.3276,0.3637888123623375
274.75,276.1199951171875,274.55999755859375,276.1199951171875,250.73194885253906,62361500,0.73,2018-01-11,01,2018,11,Thursday,0.3276,0.3637888123623375
276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,252.3665008544922,90816100,0.652,2018-01-12,01,2018,12,Friday,0.3276,0.3637888123623375
279.3500061035156,280.0899963378906,276.17999267578125,276.9700012207031,251.50387573242188,106555100,-0.342,2018-01-16,02,2018,16,Tuesday,0.22449999999999998,0.5940878161798416
278.0299987792969,280.04998779296875,276.9700012207031,279.6099853515625,253.9010467529297,113258800,0.953,2018-01-17,02,2018,17,Wednesday,0.22449999999999998,0.5940878161798416
279.4800109863281,279.9599914550781,278.5799865722656,279.1400146484375,253.474365234375,100728000,-0.168,2018-01-18,02,2018,18,Thursday,0.22449999999999998,0.5940878161798416
279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,254.62757873535156,140920100,0.455,2018-01-19,02,2018,19,Friday,0.22449999999999998,0.5940878161798416
280.1700134277344,282.69000244140625,280.1099853515625,282.69000244140625,256.6979675292969,91322400,0.813,2018-01-22,03,2018,22,Monday,0.4372,0.523078101243017
282.739990234375,283.6199951171875,282.3699951171875,283.2900085449219,257.2427673339844,97084700,0.212,2018-01-23,03,2018,23,Tuesday,0.4372,0.523078101243017
284.0199890136719,284.70001220703125,281.8399963378906,283.17999267578125,257.1427917480469,134816100,-0.039,2018-01-24,03,2018,24,Wednesday,0.4372,0.523078101243017
284.1600036621094,284.2699890136719,282.3999938964844,283.29998779296875,257.25177001953125,84587300,0.042,2018-01-25,03,2018,25,Thursday,0.4372,0.523078101243017
284.25,286.6300048828125,283.9599914550781,286.5799865722656,260.2302551269531,107743100,1.158,2018-01-26,03,2018,26,Friday,0.4372,0.523078101243017
285.92999267578125,286.42999267578125,284.5,284.67999267578125,258.5050354003906,90118300,-0.663,2018-01-29,04,2018,29,Monday,-0.786,0.8885507863932146
282.6000061035156,284.739990234375,281.2200012207031,281.760009765625,255.8534698486328,131796400,-1.026,2018-01-30,04,2018,30,Tuesday,-0.786,0.8885507863932146
282.7300109863281,283.29998779296875,280.67999267578125,281.8999938964844,255.9805450439453,108364800,0.05,2018-01-31,04,2018,31,Wednesday,-0.786,0.8885507863932146
281.07000732421875,283.05999755859375,280.67999267578125,281.5799865722656,255.6898956298828,90102500,-0.114,2018-02-01,04,2018,1,Thursday,-0.786,0.8885507863932146
280.0799865722656,280.2300109863281,275.4100036621094,275.45001220703125,250.1235809326172,173174800,-2.177,2018-02-02,04,2018,2,Friday,-0.786,0.8885507863932146
273.45001220703125,275.8500061035156,263.30999755859375,263.92999267578125,239.662841796875,294681800,-4.182,2018-02-05,05,2018,5,Monday,-1.0006,2.871575839151737
259.94000244140625,269.70001220703125,258.70001220703125,269.1300048828125,244.38470458984375,355026800,1.97,2018-02-06,05,2018,6,Tuesday,-1.0006,2.871575839151737
268.5,272.3599853515625,267.5799865722656,267.6700134277344,243.05897521972656,167376100,-0.542,2018-02-07,05,2018,7,Wednesday,-1.0006,2.871575839151737
268.010009765625,268.1700134277344,257.5899963378906,257.6300048828125,233.94204711914062,246449500,-3.751,2018-02-08,05,2018,8,Thursday,-1.0006,2.871575839151737
260.79998779296875,263.6099853515625,252.9199981689453,261.5,237.4562225341797,283565300,1.502,2018-02-09,05,2018,9,Friday,-1.0006,2.871575839151737
263.8299865722656,267.010009765625,261.6600036621094,265.3399963378906,240.94317626953125,143736000,1.468,2018-02-12,06,2018,12,Monday,0.8744,0.6792763060787561
263.9700012207031,266.6199951171875,263.30999755859375,266.0,241.54248046875,81223600,0.249,2018-02-13,06,2018,13,Tuesday,0.8744,0.6792763060787561
264.30999755859375,270.0,264.29998779296875,269.5899963378906,244.80239868164062,120735700,1.35,2018-02-14,06,2018,14,Wednesday,0.8744,0.6792763060787561
271.57000732421875,273.0400085449219,268.7699890136719,273.0299987792969,247.92613220214844,111200300,1.276,2018-02-15,06,2018,15,Thursday,0.8744,0.6792763060787561
272.32000732421875,275.32000732421875,272.2699890136719,273.1099853515625,247.9987030029297,160420100,0.029,2018-02-16,06,2018,16,Friday,0.8744,0.6792763060787561
272.0299987792969,273.6700134277344,270.5,271.3999938964844,246.4459686279297,86369700,-0.626,2018-02-20,07,2018,20,Tuesday,0.15025000000000002,1.0175658455353147
271.8999938964844,274.7200012207031,269.94000244140625,270.04998779296875,245.22006225585938,98883700,-0.497,2018-02-21,07,2018,21,Wednesday,0.15025000000000002,1.0175658455353147
